,qPCR Plate,qPCR Well,LC Plate,LC Well,ID Assay Name,ID Template Name,ID Template Conc.,ID Human Conc.,PA Assay Name,PA Template Name,PA Template Conc.,PA Human Conc.,Ct,Ct Call,Tm1,Tm2,Tm3,Tm4,Tm Specif,Tm NS,Tm PD
0,A81_E361_1_ID,G01,20180720_A,G01,AMR_NDM_x.3_NDM19_NDM21,,,,AMR_NDM_6.x_NDM17_NDM23,K.pneumoniae-NDM_2146,1000.0,,10.7822923660278,True,91.2080688476562,,,,True,False,False
1,A81_E361_1_ID,B01,20180720_A,B01,AMR_NDM_x.3_NDM19_NDM21,,,,AMR_NDM_6.x_NDM17_NDM23,,,3000.0,23.5893001556396,True,84.3643035888672,,,,False,True,False
2,A81_E361_1_ID,A02,,,AMR_NDM_x.3_NDM19_NDM21,,,,AMR_NDM_6.x_NDM17_NDM23,,,,30.5807685852051,False,79.299919128418,85.1855545043945,,,False,True,True
3,A81_E361_1_ID,E02,,,AMR_NDM_x.3_NDM19_NDM21,,,,AMR_NDM_6.x_NDM17_NDM23,K.pneumoniae-NDM_2146,100.0,,13.5240201950073,True,91.2080688476562,,,,True,False,False
4,A81_E361_1_ID,A01,20180720_A,A01,AMR_NDM_x.3_NDM19_NDM21,,,,AMR_NDM_6.x_NDM17_NDM23,,,,32.2509994506836,False,79.0261688232422,,,,False,False,True
5,A81_E361_1_ID,H01,20180720_A,H01,AMR_NDM_x.3_NDM19_NDM21,,,,AMR_NDM_6.x_NDM17_NDM23,K.pneumoniae-NDM_2146,1000.0,3000.0,11.4952821731567,True,91.2080688476562,,,,True,False,False
6,A81_E361_1_ID,H02,,,AMR_NDM_x.3_NDM19_NDM21,,,,AMR_NDM_6.x_NDM17_NDM23,K.pneumoniae-NDM_2146,1000.0,3000.0,11.3708801269531,True,91.3449401855469,,,,True,False,False
7,A81_E361_1_ID,F01,20180720_A,F01,AMR_NDM_x.3_NDM19_NDM21,,,,AMR_NDM_6.x_NDM17_NDM23,K.pneumoniae-NDM_2146,100.0,3000.0,14.0689172744751,True,91.2080688476562,,,,True,False,False
8,A81_E361_1_ID,F02,,,AMR_NDM_x.3_NDM19_NDM21,,,,AMR_NDM_6.x_NDM17_NDM23,K.pneumoniae-NDM_2146,100.0,3000.0,16.1430892944336,True,91.2080688476562,,,,True,False,False
9,A81_E361_1_ID,D02,,,AMR_NDM_x.3_NDM19_NDM21,,,,AMR_NDM_6.x_NDM17_NDM23,K.pneumoniae-NDM_2146,10.0,3000.0,16.8434867858887,True,91.2080688476562,,,,True,False,False
10,A81_E361_1_ID,B02,,,AMR_NDM_x.3_NDM19_NDM21,,,,AMR_NDM_6.x_NDM17_NDM23,,,3000.0,24.8454360961914,True,84.638053894043,78.7524185180664,,,False,True,True
11,A81_E361_1_ID,C01,20180720_A,C01,AMR_NDM_x.3_NDM19_NDM21,,,,AMR_NDM_6.x_NDM17_NDM23,K.pneumoniae-NDM_2146,10.0,,18.0885486602783,True,91.2080688476562,,,,True,False,False
12,A81_E361_1_ID,E01,20180720_A,E01,AMR_NDM_x.3_NDM19_NDM21,,,,AMR_NDM_6.x_NDM17_NDM23,K.pneumoniae-NDM_2146,100.0,,13.8067588806152,True,91.2080688476562,,,,True,False,False
13,A81_E361_1_ID,C02,,,AMR_NDM_x.3_NDM19_NDM21,,,,AMR_NDM_6.x_NDM17_NDM23,K.pneumoniae-NDM_2146,10.0,,19.9060935974121,True,91.2080688476562,,,,True,False,False
14,A81_E361_1_ID,D01,20180720_A,D01,AMR_NDM_x.3_NDM19_NDM21,,,,AMR_NDM_6.x_NDM17_NDM23,K.pneumoniae-NDM_2146,10.0,3000.0,17.8644275665283,True,91.2080688476562,,,,True,False,False
15,A81_E361_1_ID,G02,,,AMR_NDM_x.3_NDM19_NDM21,,,,AMR_NDM_6.x_NDM17_NDM23,K.pneumoniae-NDM_2146,1000.0,,10.2423791885376,True,91.2080688476562,,,,True,False,False
16,A81_E361_1_ID,B04,,,AMR_NDM_x.4_NDM19_NDM22,,,,AMR_NDM_5.x_NDM17_NDM24,,,3000.0,29.853494644165,False,79.1630401611328,,,,False,False,True
